xatplane,yatplane,kErg,event
-849.4652868860002,472.70737212554843,0.0005241036415100098,16
-184.69908410547237,-717.280040289929,0.1578555703163147,34
1592.691845186372,258.69923795043513,0.35285240411758423,44
192.3353875425815,-189.09403417301354,0.0058737993240356445,58
370.8448969930157,-283.5489655002339,0.3026617169380188,58
-1989.1662437336402,96.39233724096307,0.012318253517150879,61
-1978.4943316262083,103.44513581141945,0.0030097365379333496,61
-2022.9401390861346,84.78116208808035,0.003934025764465332,61
-1976.5642281740468,111.58523497991355,0.04161787033081055,61
-1984.8222899041382,109.06622789552652,0.00024014711380004883,61
2860.4107541543935,4598.971524748664,0.0845523476600647,64
263.23644464464275,901.9215575817021,0.006660878658294678,64
-35.680086720088624,-1543.500335930763,0.0005398392677307129,66
11.675335598199393,-1463.704349792763,0.0006409883499145508,66
-735.4287085729309,-867.2494670524925,0.21604973077774048,85
-732.8083436212469,-901.9249710095409,0.0012778639793395996,85
-5042.860601023923,-970.4895356603718,0.0035732388496398926,120
-2076.4770172645667,8.207786013318241,0.00011330842971801758,124
3402.657734845389,4140.26311533266,0.001408398151397705,132
2619.4893741509645,-3373.843646865562,0.001685500144958496,139
3157.095650671685,-949.8997529745188,0.006534576416015625,140
-1443.5184446624903,-1774.9523332991391,0.012202262878417969,145
-361.0781044396257,-879.4181124827387,0.00337374210357666,158
-1563.5018710850622,318.3572787434747,0.008304357528686523,170
-1450.4675379783569,381.5654439344172,0.04850286245346069,170
-1443.0020842465046,404.45171665588987,0.04729962348937988,170
-1460.5734444143272,397.44210692192956,0.0010119080543518066,170
-1401.6888595774049,413.6401181750273,6.878376007080078e-05,170
-1054.7684652509408,-1601.9313492982158,0.13842052221298218,187
-1060.3678646349917,-1600.0419628265836,0.08626121282577515,187
-1198.7828941228393,-1582.987809399833,0.011735975742340088,187
-1196.4631595758378,-1537.7151024373286,0.001017749309539795,187
-35.676234288401304,12.680806217975338,0.004230678081512451,206
-11.314720684433464,-61.12537207984272,0.01230710744857788,206
-8.209369387688575,-50.16228678218807,0.0003578662872314453,206
-4415.92403873983,4459.620508607495,0.007876455783843994,207
450.5108553248568,1509.1079461414888,0.10209828615188599,207
42.31693706386926,-585.5521338581358,0.0645102858543396,244
212.10253903317306,-500.2183586176004,0.046874165534973145,244
284.7223330914752,-466.83650149238747,0.005056142807006836,244
448.79968623202666,-481.1014564684467,0.03141671419143677,244
459.89683697448055,-483.8142508940931,0.0027278661727905273,244
56.183912434227906,-364.66504190626733,0.08117932081222534,249
3294.3398016151978,6512.480205976118,0.028824031352996826,295
-5806.087107062993,-8584.299922168808,0.006016910076141357,339
-1404.1656653356288,-495.7698459898612,0.14896446466445923,368
-1375.9674094006436,-487.86655050700216,0.1182742714881897,368
1670.5220631329873,2191.74845157648,0.0016204118728637695,368
-297.4577906713381,-1404.613870684935,0.0038002729415893555,377
-1567.5160509908662,6372.66112337543,0.004868686199188232,382
659.7444886871938,-852.395715632798,0.047029197216033936,405
671.2121943295198,-868.8038171655221,0.12278467416763306,405
-1006.575598128241,346.80537814462804,0.20708173513412476,414
-1055.7757445501684,360.2304903816141,0.01583033800125122,414
-1329.5275646788564,15669.251645372013,0.008723020553588867,432
327.29674217520017,1969.860317781262,0.040823400020599365,439
-52332.246365155945,-10643.473920282853,0.004946708679199219,461
1791.816955694724,-5465.025006351556,0.008163034915924072,461
1376.3922098771377,-1793.5209155861014,0.0008406639099121094,481
1374.9483472833897,-1828.3847944391935,0.008221983909606934,481
1405.0595331509214,-1795.7256435376516,0.0002753138542175293,481
512.700336913355,-453.7163077594218,0.17427653074264526,481
520.7469633074604,-455.7341773758278,0.013093173503875732,481
304.71712398427104,-364.6244701500855,0.006808221340179443,483
7705.1289237766905,5831.783381516406,0.024899542331695557,488
-692.9985391284862,-2779.2780854381285,0.15826445817947388,511
52.643925885681305,-900.0466294059831,0.002641439437866211,540
1235.170530490399,-512.7760647944893,0.0010545849800109863,541
4697.89092921768,-2875.15352332955,0.009135127067565918,546
-1990.2775486104965,-473.95431001870435,0.030286729335784912,570
-2345.3184268856166,-564.7199222097801,0.0053792595863342285,570
122.511757108906,-2578.262667614639,0.03055095672607422,571
-438.2150434146668,-1493.2779749960307,0.002681553363800049,571
1026.0838859238038,-1018.4749438989173,0.004346191883087158,589
1034.6132272038712,-1009.7853924437944,0.047796785831451416,589
1040.0364182235182,-1023.1059987318256,0.0005385875701904297,589
-461.32628071367594,-525.3634203374493,0.0018824338912963867,591
34.294385310887186,-193.4065667182827,0.23380881547927856,600
108.95386915161717,-373.1426293304096,0.03277122974395752,600
-1.7651866568206884,-251.64830393288307,0.0014495849609375,624
-106.50690810891689,27.712254487530352,0.00042682886123657227,624
-333.1738462301689,2711.0353556772793,0.0005769133567810059,626
-2667.7141810804465,10781.338465129924,0.000563502311706543,626
-199.95589793190328,-382.0135173168567,0.0001659989356994629,627
-852.5633581999965,29.088014909326482,0.10132211446762085,640
-823.9841319946289,6.020469413637291,0.019039034843444824,640
-836.3430744016417,-4.3310074314751965,0.004277288913726807,640
-836.803115082444,24.755746341276538,0.0005328655242919922,640
-861.8428675963416,34.95706536631784,0.0005837678909301758,640
-885.6128309151643,41.63038817552137,0.00011336803436279297,640
48.36691990367375,-577.6779269914755,0.00046265125274658203,644
19.345625330031474,-627.5671621106003,0.00022011995315551758,644
-29.51575458343956,182.9659564323056,3.886222839355469e-05,675
68.59478503801478,-33.93438983419793,0.0012845396995544434,675
631.6334802625131,1594.2145129454639,0.00018215179443359375,675
-111.17538380507577,255.8823431715856,0.0005741119384765625,675
-1562.1223398615514,351.62240690768294,0.0030159354209899902,695
1508.6787263287256,-536.7619964424866,0.005788743495941162,713
4258.612399482344,-774.1946061218732,0.030553996562957764,716
3103.257898764464,-644.4449533013727,0.0005024075508117676,716
1262.7456641222948,-1258.0945275146535,0.000982522964477539,717
-983.5890660624882,347.3766834594842,0.0028490424156188965,737
322.6502844608522,502.9601235876979,0.0016751289367675781,745
4615.962154460199,-2107.4688280687833,0.004210054874420166,747
1342.7512356970094,-368.9463265319236,0.29487913846969604,764
1305.1310266035882,-464.65481230440975,0.07774895429611206,764
1259.5439160754536,-549.7457315214708,0.0046620965003967285,764
1260.0714558600544,-550.7064308892391,0.0005373358726501465,764
2064.3742031120064,-186.66793393152608,0.0908084511756897,784
-1631.5200556984303,-564.1876703016859,0.03585851192474365,795
-1011.7918597155088,-164.14145490539144,0.001246333122253418,797
-1008.272604545142,-179.1403357797888,0.0010163187980651855,797
-1023.8737701084503,-89.03085469939722,0.007896184921264648,797
8021.752288699103,-674.2534334623181,0.0013601183891296387,800
1921.037635751409,-1252.252283038816,0.0001773834228515625,812
-568.779768662693,4411.126527476489,0.0009480118751525879,816
6621.759483122203,2672.332237373841,0.000845789909362793,820
1911.147664459127,-1668.489375433113,0.0022526979446411133,840
790.7133015649365,209.90992603033143,0.10460549592971802,865
837.5468296391748,-890.2647193238461,0.007740914821624756,866
-183.10044457329047,201.504020453448,0.02187979221343994,868
-1306.5561668223384,-731.5752485268262,0.6574470400810242,875
940.4303382694877,-7370.989040136125,0.003986537456512451,878
96.72788384335894,1147.0315878373442,0.001003563404083252,883
2241.1432112434063,4101.7929365346845,0.0002307295799255371,883
1820.9646516094795,1560.0656772865268,0.0035294294357299805,885
13190.118514075233,21045.626093373954,0.05370330810546875,886
-350.82135849443125,573.4400886637901,0.0025667548179626465,892
-320.97810545927143,560.5448268466663,0.0014896392822265625,892
-369.036638683444,588.9692998297213,0.004278719425201416,892
-364.81043474225254,583.5573400593775,0.00016731023788452148,892
-446.68936575150633,-2514.7988616633625,0.001069784164428711,893
-824.4347883115568,-1011.5127740596535,0.0009316205978393555,909
1384.783745294584,300.59782659947047,0.0005317926406860352,912
-1836.4155758363984,-1293.881534006513,0.002942383289337158,925
-1832.9434681767366,-1286.5663428038204,0.0015444755554199219,925
-489.6077496155759,-710.9184179405302,0.026176929473876953,936
-480.7178025951887,-703.0464205294987,0.002299070358276367,936
-942.7427621408856,-1253.1809338768655,0.0037515759468078613,942
-44991.765060442725,-47569.24592726983,0.044574618339538574,967
-28529.544766073548,47.29370392568535,0.03855925798416138,967
974.3361957826492,-843.4035686969355,0.0022755861282348633,973
1961.649308028017,1893.6732605958678,0.0026497244834899902,989
72015.0280343475,34272.049494628394,0.0018118619918823242,989
-1941.2119966868688,71.9958413329799,0.27457815408706665,991
-342.85398452204515,-751.7308864437371,0.0007172822952270508,1032
-435.1983083856438,-739.809621620124,0.00041037797927856445,1032
-454.61517768075754,-662.5963934972539,0.013917088508605957,1032
-445.7329553990701,-671.0259082015202,0.005112051963806152,1032
-146.12535217261893,52.31769294356614,0.0003809928894042969,1037
352.0907556309563,-408.03844727318045,0.004444301128387451,1050
277.82077373021013,-433.7793879556279,0.002035081386566162,1050
-1607.740785852397,-773.6138499560159,0.0015048980712890625,1070
-1579.5054898394922,-797.4011663882383,0.020994067192077637,1070
-1560.008849002355,-818.1341491091817,0.00013911724090576172,1070
1511.399206186706,-2477.6086981130825,0.0021899938583374023,1076
-775.6087545937656,-120.79709640899755,0.007783830165863037,1080
2924.084661857112,-879.3701232239064,0.0034697651863098145,1092
1235.8769925121915,644.8204569834772,0.07921451330184937,1092
1247.5221668806103,538.4357756938625,0.004685819149017334,1092
1908.338306813173,829.8415694198645,0.0006410479545593262,1092
826.8369272628534,396.95134672534897,0.003453493118286133,1107
6333.762776141208,-6950.017515904602,0.0055800676345825195,1110
209.14599721423366,398.8327492057041,0.0015570521354675293,1137
366.2305189546309,277.62436873028446,0.0002364516258239746,1137
456.85372046355906,123.9322591460824,0.00048416852951049805,1137
286.6471955301449,204.89736517268847,0.0020731687545776367,1137
294.52614974682683,284.687968564171,0.0005688071250915527,1137
231.21093010439498,362.9796364640533,0.00012218952178955078,1137
-100.32847238890952,1779.1046389050648,0.0029526352882385254,1137
151.75915962679744,2171.678717452838,0.00024265050888061523,1145
3345.377413014113,-5004.891994075873,0.00680774450302124,1153
-1343.4994133721061,-501.68461722159645,0.00023126602172851562,1155
-3063.277920904977,1174.148466563328,0.008235454559326172,1167
573.2232723508014,-666.3047806015783,0.33867818117141724,1183
552.4621275142347,-740.2748561167173,0.00014656782150268555,1183
613.6781492644632,-689.144349875659,0.00022107362747192383,1183
-3583.314024896013,3098.287092179534,0.0030454397201538086,1185
-594.8214819653238,-1677.0122817504448,0.04097956418991089,1211
-1958.101071559,-32.324783117686756,0.0002849102020263672,1219
-1948.0353249455525,-28.87447635181321,0.004132986068725586,1219
-1984.6606518501287,25.60758086983971,0.005809187889099121,1219
-1937.9944360016914,-22.416320229064546,0.003179192543029785,1219
-1948.7362280062268,-50.06556552019658,0.0023294687271118164,1219
-1819.1310897014191,-3563.995293558173,0.00778043270111084,1235
-4886.389599317756,-6248.879767296107,0.01491856575012207,1235
1561.145095070208,-110.08139318981154,0.0021767020225524902,1250
-613.6773291166201,-6533.170860120204,0.005515575408935547,1270
-724.5052754978665,416.8129357496284,0.16519027948379517,1274
-698.8744078239372,375.60160459323527,0.020296096801757812,1274
-700.8331162668277,380.4419471728147,0.0044457316398620605,1274
-686.9041508232781,423.906713219311,0.002020716667175293,1274
-701.100233879754,429.7674516185933,0.39881306886672974,1274
138.4187241645016,-1725.8964878469262,0.03918832540512085,1282
119.60342861360479,-1726.7356863470575,0.0013995766639709473,1282
-334.1293095146259,-3077.164616796427,0.0012812614440917969,1283
-3217.9611209447585,-1478.7782557233502,0.00036448240280151367,1316
-3269.132398604438,1903.3519542183558,0.09227985143661499,1317
-1619.7937166480888,2753.984822408312,0.004346013069152832,1317
-10333.05335052737,7497.956830086223,0.012994647026062012,1317
-406.6393356571885,248.08946923279987,0.0017001628875732422,1331
-381.98247600053503,227.019014427182,0.0033782124519348145,1331
139.4842294197912,375.0669422000875,0.0007875561714172363,1332
2181.298832226758,-14.61872647300079,0.11918109655380249,1339
2184.6680255973884,-16.801691367888832,0.02913081645965576,1339
2186.993076252841,-5.7576631759965835,0.002389192581176758,1339
